文件名,目录,类型,字数
1.我能帮到你什么——一个不光教你刷行测央国企知识库.md,前言,skip,4625
2.什么人适合央国企？.md,前言,skip,5236
3.央国企、私企和公务员怎么选？.md,前言,skip,4590
4.SWTO分析法制定个人规划.md,前言,skip,3428
央国企到底怎么看一年制硕士？.md,前言,skip,3640
1.中央企业名录.md,央国企名录,skip,5596
2.中央金融企业名录和官网地址.md,央国企名录,skip,2039
3.技术类央企名录.md,央国企名录,skip,3752
4.考试类央企名录.md,央国企名录,skip,1431
5.金融及特殊央企名录.md,央国企名录,skip,1619
6.计算机优先选择国央企排名.md,央国企名录,skip,2069
1.央国企的四个梯队.md,技术路线&考试路线,skip,5193
2.央国企考试路线&技术路线.md,技术路线&考试路线,skip,3715
3.央国企技术路线概述.md,技术路线&考试路线,skip,2283
4.央国企考试路线概述.md,技术路线&考试路线,skip,1268
5.考试路线&技术路线央国企分布图.md,技术路线&考试路线,skip,400
6.央企&研究所Java后端技术路线.md,技术路线&考试路线,skip,2111
7.央国企&研究所C++后台技术路线.md,技术路线&考试路线,skip,7763
1.央国企简历筛选流程&一些注意事项.md,简历优化,skip,1161
2.优秀的项目经历应该怎么写？.md,简历优化,skip,2359
3.优秀的个人评价应该怎么写？.md,简历优化,skip,4426
4.国央企简历加分项.md,简历优化,skip,532
5.央国企中党员的作用.md,简历优化,skip,2686
6.央国企面试项目到底看重什么？.md,简历优化,skip,1491
7.央国企项目等级划分.md,简历优化,skip,1479
8.为什么不能全写网上的项目.md,简历优化,skip,1516
9.简历优化模板推荐.md,简历优化,skip,112
技术类面试必杀技——建立自己的面试知识库 (1).md,简历优化,skip,2480
如何嫁接项目亮点到自己项目上？.md,项目润色,skip,3465
项目亮点挖掘方法.md,项目润色,skip,3373
写项目经历的STAR和三段式法则.md,项目润色,skip,1671
1.说说央国企对学历的要求.md,网申指南,skip,1085
2.推荐一个快速网申神器.md,网申指南,skip,1302
3.如何高效管理自己的秋招信息？.md,网申指南,skip,2698
4.央国企招聘信息获取.md,网申指南,skip,3014
5.国资委最全央企招聘网站安利！.md,网申指南,skip,1032
6.党员身份对于进央国企有用吗？.md,网申指南,skip,2683
1.央国企笔试概述.md,笔试指南,skip,4873
2.性格测试攻略.md,笔试指南,skip,2849
3.技术类VS考试类央国企笔试区别？.md,笔试指南,skip,1433
4.央国企行测攻略（上）——行测概述.md,笔试指南,skip,2355
5.央国企行测攻略（下）——UP主一个月行测75+速成攻略分享.md,笔试指南,skip,2898
6.专业综合知识攻略.md,笔试指南,skip,2349
7.行业知识&企业文化攻略.md,笔试指南,skip,2761
1.央国企面试如何做自我介绍（技术类）.md,面试指南,skip,3189
10.央国企面试，领导打听家底的四个目的.md,面试指南,skip,1279
2.央国企面试如何介绍自己的项目？.md,面试指南,skip,2534
3.考试类和技术类面试区别.md,面试指南,skip,1984
4.结构化面试概述.md,面试指南,skip,3788
5.半结构化面试概述.md,面试指南,skip,3413
6.无领导小组面试（群面）.md,面试指南,skip,5974
7.技术类面试必杀技——建立自己的面试知识库.md,面试指南,skip,2423
8.需要做ppt类国企面试准备攻略.md,面试指南,skip,2165
9.央国线下面试注意事项.md,面试指南,skip,2134
央企薪资构成详解 (1).md,面试指南,skip,2875
生存指南.md,,FAIL,0
1.央国企合同类型，你都知道吗？.md,体检&入职,skip,1366
2.央企薪资构成详解.md,体检&入职,skip,2284
3.应届生央企接offer Check List.md,体检&入职,skip,3442
4.央国企研究所事业编和普通事业编制区别？.md,体检&入职,skip,2648
5.央国企是研发部门好还是职能部门好？.md,体检&入职,skip,2824
