文件名,目录,类型,字数
为什么不推荐用 Python 当主力语言去面试央国企？.md,前言,full,3415
浣熊央国企Java核心八股.md,,full,75566
JavaIO流.md,Java基础,full,4343
Java并发编程.md,Java基础,full,14466
Java基础.md,Java基础,full,25390
Java容器.md,Java基础,full,4345
JVM性能调优.md,Java虚拟机,full,27510
二、CPU多级缓存架构.md,Java虚拟机,full,6544
三、Java运行时数据区.md,Java虚拟机,full,30080
四、Java对象加载流程.md,Java虚拟机,full,36843
五、Java垃圾回收器.md,Java虚拟机,full,63447
一、Java 字节码文件构成.md,Java虚拟机,full,21458
01 Kafka基础、应用场景与核心模型.md,Kafka,full,7253
02 Topic、Partition、Broker与副本机制.md,Kafka,full,6065
03 Spring Boot集成Kafka与最小闭环.md,Kafka,full,8314
04 Producer发送链路、分区策略与批量缓存.md,Kafka,full,10015
05 Broker存储、高性能读写与日志保留.md,Kafka,full,9022
06 Consumer消费模型、Offset提交与Rebalance.md,Kafka,full,8770
07 Kafka可靠性、幂等、事务与消息语义.md,Kafka,full,8295
08 Kafka性能调优、消息积压治理与项目表达.md,Kafka,full,7927
01-MongoDB文档模型与BSON边界.md,MongoDB,full,4777
02-CRUD查询与更新语义.md,MongoDB,full,7161
03-聚合管道与数据处理机制.md,MongoDB,full,6119
04-索引体系与执行计划.md,MongoDB,full,6821
05-数据建模与Schema治理.md,MongoDB,full,7848
06-复制集与读写关注.md,MongoDB,full,6046
07-事务会话与一致性边界.md,MongoDB,full,5586
08-分片集群与分片键设计.md,MongoDB,full,5074
09-特殊集合与实时能力.md,MongoDB,full,6891
10-Java集成与面试表达.md,MongoDB,full,9035
01 MQTT核心模型、应用场景与协议边界.md,MQTT,full,8763
02 连接建立、会话状态与保活机制.md,MQTT,full,7914
03 Topic路由、订阅匹配与消息语义.md,MQTT,full,9734
04 MQTT 5增强能力、流控与请求响应.md,MQTT,full,10629
05 Java集成、Broker选型与面试落地.md,MQTT,full,13324
06 控制报文、固定报头与编码规则.md,MQTT,full,9855
07 QoS状态机、报文标识符与重传边界.md,MQTT,full,9996
08 Retain、Will、离线消息与过期机制.md,MQTT,full,8526
09 订阅选项、共享订阅与Topic治理.md,MQTT,full,12628
10 MQTT 5属性体系、原因码与诊断能力.md,MQTT,full,7616
11 流控、Topic Alias、最大报文与性能治理.md,MQTT,full,10093
12 安全认证、权限模型与Broker运维边界.md,MQTT,full,11631
00、MySQL 学习导读与核心主线.md,MySQL,full,4752
01、MySQL 基础：范式、字段类型与 MVCC.md,MySQL,full,7211
02、MySQL 基础架构与存储引擎.md,MySQL,full,6388
03、MySQL 索引原理：从树结构到 B+ 树.md,MySQL,full,6239
04、MySQL 索引分类与使用原则.md,MySQL,full,6322
05、MySQL 日志体系：binlog、redo log 与 undo log.md,MySQL,full,6378
06、MySQL 事务：ACID、并发问题与隔离级别.md,MySQL,full,5395
07、MySQL 锁机制：表锁、行锁与意向锁.md,MySQL,full,4812
08、MySQL 性能优化：EXPLAIN、慢 SQL 与架构优化.md,MySQL,full,5020
01 Redis基础与项目场景.md,Redis,full,9442
02 Redis数据结构与底层实现.md,Redis,full,9797
03 Redis持久化、过期删除与内存淘汰.md,Redis,full,14378
04 Redis分布式锁与缓存一致性.md,Redis,full,9821
05 Redis高可用、哨兵与Cluster.md,Redis,full,12049
06 Redis缓存问题治理.md,Redis,full,12294
01-Spring核心原理与容器机制.md,Spring、Spring Boot、Spring Cloud,full,26431
02-SpringBoot工程启动与自动配置.md,Spring、Spring Boot、Spring Cloud,full,26038
03-SpringMVC请求处理与Web层机制.md,Spring、Spring Boot、Spring Cloud,full,30483
01-SpringCloudAlibaba体系总览与版本选型.md,Spring、Spring Boot、Spring Cloud/Spring Cloud,full,9859
02-Nacos服务发现与注册中心排查.md,Spring、Spring Boot、Spring Cloud/Spring Cloud,full,10617
03-Nacos配置中心与动态配置治理.md,Spring、Spring Boot、Spring Cloud/Spring Cloud,full,9267
04-OpenFeign与LoadBalancer服务调用链路.md,Spring、Spring Boot、Spring Cloud/Spring Cloud,full,9960
05-SpringCloudGateway入口治理与灰度路由.md,Spring、Spring Boot、Spring Cloud/Spring Cloud,full,11951
06-Sentinel流量治理熔断降级与隔离.md,Spring、Spring Boot、Spring Cloud/Spring Cloud,full,14050
07-Seata分布式事务与一致性边界.md,Spring、Spring Boot、Spring Cloud/Spring Cloud,full,9953
08-RocketMQ消息削峰与最终一致实践.md,Spring、Spring Boot、Spring Cloud/Spring Cloud,full,10789
09-链路追踪可观测与线上故障排查.md,Spring、Spring Boot、Spring Cloud/Spring Cloud,full,10755
10-微服务工程落地项目表达与高频追问.md,Spring、Spring Boot、Spring Cloud/Spring Cloud,full,8993
